timestamp,cpu_percent,memory_percent
2026-05-11T09:32:16.501378,17.6,85.6
2026-05-11T09:32:17.502026,33.4,85.7
2026-05-11T09:32:18.502598,25.3,85.7
2026-05-11T09:32:19.503313,30.4,85.6
2026-05-11T09:32:20.504094,34.3,85.6
2026-05-11T09:32:21.504577,31.9,85.6
2026-05-11T09:32:22.505467,31.4,85.6
2026-05-11T09:32:23.505847,30.7,85.6
2026-05-11T09:32:24.506725,36.3,85.5
2026-05-11T09:32:25.507307,25.4,85.5
